Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,33030.871094,33289.339844,32997.878906,33255.359375,33255.359375,7600
2018-04-03,33197.421875,33402.941406,33153.828125,33370.628906,33370.628906,11100
2018-04-04,33437.519531,33505.531250,32972.558594,33019.070313,33019.070313,9700
2018-04-05,33289.960938,33637.460938,33267.859375,33596.800781,33596.800781,11000
2018-04-06,33608.589844,33697.511719,33501.371094,33626.968750,33626.968750,10800
2018-04-09,33653.609375,33846.500000,33578.910156,33788.539063,33788.539063,37400
2018-04-10,33880.109375,33949.980469,33813.300781,33880.250000,33880.250000,13600
2018-04-11,33970.351563,33981.539063,33750.738281,33940.441406,33940.441406,9300
2018-04-12,33987.550781,34177.441406,33924.878906,34101.128906,34101.128906,6600
2018-04-13,34167.531250,34313.140625,34103.531250,34192.648438,34192.648438,8300
2018-04-16,33944.730469,34341.460938,33899.339844,34305.429688,34305.429688,7100
2018-04-17,34381.800781,34434.140625,34229.828125,34395.058594,34395.058594,10400
2018-04-18,34443.421875,34591.808594,34270.039063,34331.679688,34331.679688,8200
2018-04-19,34403.671875,34478.820313,34358.910156,34427.289063,34427.289063,7600
2018-04-20,34434.140625,34487.328125,34311.289063,34415.578125,34415.578125,10200
2018-04-23,34493.691406,34663.949219,34259.269531,34450.769531,34450.769531,9500
2018-04-24,34491.378906,34706.710938,34465.488281,34616.640625,34616.640625,8400
2018-04-25,34593.171875,34631.269531,34400.558594,34501.269531,34501.269531,7800
2018-04-26,34532.949219,34747.968750,34505.621094,34713.601563,34713.601563,10000
2018-04-27,34747.039063,35065.371094,34744.730469,34969.699219,34969.699219,16200
2018-04-30,35021.199219,35213.300781,35004.000000,35160.359375,35160.359375,6900
2018-05-02,35328.910156,35357.148438,35072.421875,35176.421875,35176.421875,8700
2018-05-03,35257.308594,35257.308594,35020.078125,35103.140625,35103.140625,7700
2018-05-04,35144.960938,35206.550781,34847.609375,34915.378906,34915.378906,7800
2018-05-07,34983.589844,35259.808594,34977.738281,35208.140625,35208.140625,12600
2018-05-08,35349.851563,35388.871094,35136.011719,35216.320313,35216.320313,14200
2018-05-09,35198.078125,35404.828125,35134.199219,35319.351563,35319.351563,9400
2018-05-10,35353.960938,35500.761719,35203.851563,35246.269531,35246.269531,8400
2018-05-11,35287.988281,35596.148438,35262.058594,35535.789063,35535.789063,8900
2018-05-14,35555.828125,35642.718750,35456.558594,35556.710938,35556.710938,9000
2018-05-15,35537.851563,35993.531250,35497.921875,35543.941406,35543.941406,12000
2018-05-16,35452.351563,35543.890625,35241.628906,35387.878906,35387.878906,10900
2018-05-17,35483.621094,35510.011719,35087.820313,35149.121094,35149.121094,11000
2018-05-18,35143.589844,35163.109375,34821.621094,34848.300781,34848.300781,9500
2018-05-21,34873.160156,34973.949219,34593.820313,34616.128906,34616.128906,6500
2018-05-22,34601.488281,34754.601563,34550.218750,34651.238281,34651.238281,12000
2018-05-23,34656.628906,34668.468750,34302.890625,34344.910156,34344.910156,11300
2018-05-24,34404.140625,34741.460938,34367.828125,34663.109375,34663.109375,15800
2018-05-25,34753.468750,35017.929688,34700.519531,34924.871094,34924.871094,10300
2018-05-28,35074.320313,35240.960938,35006.500000,35165.480469,35165.480469,11200
2018-05-29,35213.140625,35234.140625,34922.179688,34949.238281,34949.238281,8400
