Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,118.500000,133.750000,115.800003,125.900002,117.416000,1540333
2015-10-12,129.300003,135.000000,127.349998,132.449997,123.524605,873447
2015-10-13,133.649994,137.699997,125.349998,130.600006,121.799278,697957
2015-10-14,128.199997,135.600006,125.150002,128.600006,119.934052,586262
2015-10-15,130.699997,134.250000,122.949997,123.800003,115.457504,366474
2015-10-16,125.000000,125.199997,119.000000,121.199997,113.032715,376013
2015-10-19,119.199997,121.500000,116.650002,118.599998,110.607918,184634
2015-10-20,118.000000,118.650002,115.300003,116.250000,108.416275,169602
2015-10-21,117.500000,119.949997,116.550003,119.949997,111.866943,144825
2015-10-22,121.900002,124.500000,120.000000,123.900002,115.550774,163884
2015-10-23,126.000000,126.300003,121.849998,121.849998,113.638908,297384
2015-10-26,123.099998,125.400002,122.500000,125.000000,116.576645,127997
2015-10-27,125.849998,126.449997,121.650002,121.800003,113.592285,146572
2015-10-28,124.000000,125.599998,120.099998,124.050003,115.690666,120174
2015-10-29,125.750000,125.900002,123.500000,125.400002,116.949699,162434
2015-10-30,126.000000,126.449997,124.300003,126.099998,117.602516,109445
2015-11-02,126.300003,127.500000,124.050003,126.750000,118.208710,166285
2015-11-03,122.750000,124.500000,122.000000,124.099998,115.737297,189196
2015-11-04,116.800003,119.949997,114.849998,117.150002,109.255630,428246
2015-11-05,117.500000,121.050003,115.449997,120.099998,112.006836,353465
2015-11-06,121.449997,123.150002,120.250000,121.900002,113.685547,201406
2015-11-09,122.000000,123.500000,119.849998,120.099998,112.006836,158148
2015-11-10,120.800003,120.800003,117.699997,119.750000,111.680428,119026
2015-11-11,120.400002,121.250000,117.099998,118.150002,110.188240,88432
2015-11-12,118.949997,118.949997,115.099998,117.199997,109.302261,148744
2015-11-13,116.650002,120.400002,116.400002,118.449997,110.468018,132245
2015-11-16,119.750000,121.300003,116.449997,116.800003,108.929214,128892
2015-11-17,117.949997,118.300003,116.400002,117.000000,109.115738,132337
